motor_id;t;pos;vel;cmd
0;0.000000;0.000000;0.000000;0.000000
0;207.000000;0.000000;0.000000;0.000000
0;308.000000;0.000000;0.000000;0.000000
0;409.000000;0.000000;0.000000;0.000000
0;510.000000;0.000000;0.000000;0.000000
0;611.000000;0.000000;0.000000;0.000000
0;712.000000;0.000000;0.000000;0.000000
0;813.000000;0.000000;0.000000;0.000000
0;914.000000;0.000000;0.000000;0.000000
0;1015.000000;0.000000;0.000000;0.000000
0;1116.000000;0.000000;0.000000;0.000000
0;1217.000000;0.000000;0.000000;0.000000
0;1318.000000;0.000000;0.000000;0.000000
0;1419.000000;0.000000;0.120627;0.066000
0;1520.000000;0.009530;0.185075;0.066000
0;1622.000000;0.032620;0.171661;0.059379
0;1723.000000;0.046182;0.152414;0.059379
0;1824.000000;0.065241;0.157743;0.065857
0;1925.000000;0.077702;0.137899;0.065857
0;2026.000000;0.094562;0.153103;0.073057
0;2127.000000;0.106657;0.148785;0.073057
0;2228.000000;0.124983;0.169163;0.077588
0;2329.000000;0.138178;0.214106;0.077588
0;2430.000000;0.164567;0.230250;0.078520
0;2531.000000;0.182527;0.228622;0.078520
0;2632.000000;0.210749;0.213417;0.081556
0;2733.000000;0.227609;0.214105;0.081556
0;2834.000000;0.253998;0.227336;0.087256
0;2935.000000;0.271958;0.243137;0.087256
0;3036.000000;0.302012;0.249046;0.090475
0;3137.000000;0.321438;0.239508;0.090475
0;3238.000000;0.351493;0.291337;0.093989
0;3339.000000;0.374217;0.308457;0.093989
0;3440.000000;0.411968;0.306206;0.095495
0;3542.000000;0.436159;0.316213;0.095495
0;3643.000000;0.475743;0.301567;0.097496
0;3744.000000;0.499567;0.286684;0.097496
0;3845.000000;0.534386;0.281938;0.106660
0;3946.000000;0.556377;0.308457;0.106660
0;4047.000000;0.595229;0.338327;0.105872
0;4148.000000;0.621618;0.322973;0.105872
0;4249.000000;0.661202;0.324765;0.111059
0;4350.000000;0.686859;0.333860;0.111059
0;4451.000000;0.728275;0.343024;0.113965
0;4552.000000;0.755031;0.344747;0.113965
0;4653.000000;0.797914;0.385315;0.116905
0;4754.000000;0.827969;0.406437;0.116905
0;4855.000000;0.878182;0.389718;0.116451
0;4956.000000;0.908970;0.377407;0.116451
0;5057.000000;0.955518;0.371160;0.122152
0;5158.000000;0.984839;0.370150;0.122152
0;5259.000000;1.031387;0.404114;0.124849
0;5360.000000;1.062908;0.402808;0.124849
0;5462.000000;1.112755;0.389718;0.128458
0;5563.000000;1.143542;0.399179;0.128458
0;5664.000000;1.193023;0.394356;0.130872
0;5765.000000;1.224177;0.435470;0.130872
0;5866.000000;1.279155;0.445392;0.128876
0;5967.000000;1.314341;0.439099;0.128876
0;6068.000000;1.368952;0.422907;0.135414
0;6169.000000;1.401939;0.420953;0.135414
0;6270.000000;1.453985;0.455799;0.140840
0;6371.000000;1.489537;0.464502;0.140840
0;6472.000000;1.546714;0.445392;0.140913
0;6573.000000;1.581900;0.439099;0.140913
0;6674.000000;1.636145;0.459310;0.145213
0;6775.000000;1.672431;0.511674;0.145213
0;6876.000000;1.735839;0.512188;0.144546
0;6977.000000;1.775789;0.500788;0.144546
0;7078.000000;1.837365;0.469898;0.149590
0;7179.000000;1.874017;0.486274;0.149590
0;7280.000000;1.935226;0.501065;0.147989
0;7382.000000;1.974810;0.481507;0.147989
0;7483.000000;2.034919;0.482508;0.153989
0;7584.000000;2.073037;0.500788;0.153989
0;7685.000000;2.135712;0.554479;0.155269
0;7786.000000;2.178961;0.555226;0.155269
0;7887.000000;2.247501;0.545079;0.157063
0;7988.000000;2.290017;0.504419;0.157063
0;8089.000000;2.353058;0.552102;0.159286
