motor_id;t;pos;vel;cmd
0;0.000000;0.000000;0.000000;0.000000
0;106.000000;0.000000;0.000000;0.000000
0;207.000000;0.000000;0.000000;0.000000
0;308.000000;0.000000;0.000000;0.000000
0;409.000000;0.000000;0.000000;0.000000
0;510.000000;0.000000;0.000000;0.000000
0;611.000000;0.000000;0.000000;0.000000
0;712.000000;0.000000;0.000000;0.000000
0;813.000000;0.000000;0.000000;0.000000
0;914.000000;0.000000;0.000000;0.000000
0;1015.000000;0.000000;0.000000;0.000000
0;1116.000000;0.000000;0.000000;0.000000
0;1217.000000;0.000000;0.000000;0.000000
0;1318.000000;0.000000;0.000000;0.000000
0;1419.000000;0.000000;0.000000;0.000000
0;1520.000000;0.000000;0.000000;0.000000
0;1622.000000;0.000000;0.000000;0.000000
0;1723.000000;0.000000;0.000000;0.000000
0;1824.000000;0.000000;0.000000;0.000000
0;1925.000000;0.000000;0.000000;0.000000
0;2026.000000;0.000000;0.000000;0.000000
0;2127.000000;0.000000;0.000000;0.000000
0;2228.000000;0.000000;0.000000;0.000000
0;2329.000000;0.000000;0.000000;0.000000
0;2430.000000;0.000000;0.000000;0.000000
0;2531.000000;0.000000;0.000000;0.000000
0;2632.000000;0.000000;0.000000;0.000000
0;2733.000000;0.000000;0.000000;0.000000
0;2834.000000;0.000000;0.000000;0.000000
0;2935.000000;0.000000;0.000000;0.000000
0;3036.000000;0.000000;0.000000;0.000000
0;3137.000000;0.000000;0.000000;0.000000
0;3238.000000;0.000000;0.000000;0.000000
0;3339.000000;0.000000;0.000000;0.000000
0;3440.000000;0.000000;0.000000;0.000000
0;3542.000000;0.000000;0.000000;0.000000
0;3643.000000;0.000000;0.000000;0.000000
0;3744.000000;0.000000;0.000000;0.000000
0;3845.000000;0.000000;0.000000;0.000000
0;3946.000000;0.000000;0.000000;0.000000
0;4047.000000;0.000000;0.000000;0.066000
0;4148.000000;0.000000;0.056935;0.066000
0;4249.000000;0.013928;0.083128;0.066514
0;4350.000000;0.013928;0.080285;0.066514
0;4451.000000;0.030788;0.088736;0.071645
0;4552.000000;0.030788;0.130166;0.071645
0;4653.000000;0.060109;0.165525;0.072044
0;4754.000000;0.060109;0.178216;0.072044
0;4855.000000;0.095662;0.219907;0.076279
0;4956.000000;0.097861;0.185075;0.076279
0;5057.000000;0.133413;0.213803;0.080410
0;5158.000000;0.135979;0.203219;0.080410
0;5259.000000;0.174097;0.209441;0.084429
0;5360.000000;0.177029;0.188703;0.084429
0;5462.000000;0.211116;0.172483;0.090894
0;5563.000000;0.214048;0.214105;0.090894
0;5664.000000;0.254365;0.250776;0.092456
0;5765.000000;0.259130;0.264911;0.092456
0;5866.000000;0.309343;0.311543;0.093021
0;5967.000000;0.315574;0.293942;0.093021
0;6068.000000;0.367986;0.283222;0.097412
0;6169.000000;0.374217;0.286683;0.097412
0;6270.000000;0.421498;0.244345;0.104962
0;6371.000000;0.427362;0.254024;0.104962
0;6472.000000;0.472078;0.281938;0.108471
0;6573.000000;0.479408;0.293942;0.108471
0;6674.000000;0.532187;0.314160;0.108841
0;6775.000000;0.540984;0.304828;0.108841
0;6876.000000;0.594129;0.305437;0.113037
0;6977.000000;0.603292;0.312085;0.113037
0;7078.000000;0.654605;0.320704;0.118999
0;7179.000000;0.664867;0.326602;0.118999
0;7280.000000;0.723144;0.388076;0.117297
0;7382.000000;0.736339;0.384488;0.117297
0;7483.000000;0.799747;0.386335;0.120998
0;7584.000000;0.814041;0.373777;0.120998
0;7685.000000;0.871585;0.319530;0.128608
0;7786.000000;0.884046;0.348376;0.128608
0;7887.000000;0.941590;0.393341;0.129168
0;7988.000000;0.957717;0.388294;0.129168
0;8089.000000;1.019659;0.392091;0.131667
0;8190.000000;1.036519;0.391923;0.131667
0;8291.000000;1.095895;0.382810;0.137849
0;8392.000000;1.113121;0.417325;0.137849
0;8493.000000;1.180561;0.460098;0.134144
0;8594.000000;1.202186;0.457244;0.134144
0;8695.000000;1.271458;0.441322;0.138937
0;8796.000000;1.293082;0.388295;0.138937
0;8897.000000;1.352092;0.424008;0.145455
0;8998.000000;1.373717;0.468130;0.145455
0;9099.000000;1.442989;0.463331;0.144967
0;9200.000000;1.467546;0.446357;0.144967
0;9302.000000;1.531321;0.418882;0.151637
